test/stochastic/0/push-v1/return/avg	test/stochastic/0/push-v1/return/std	test/stochastic/0/push-v1/return/max	test/stochastic/0/push-v1/return/min	test/stochastic/0/push-v1/ep_length	test/stochastic/0/push-v1/success	test/stochastic/average_success	test/deterministic/0/push-v1/return/avg	test/deterministic/0/push-v1/return/std	test/deterministic/0/push-v1/return/max	test/deterministic/0/push-v1/return/min	test/deterministic/0/push-v1/ep_length	test/deterministic/0/push-v1/success	test/deterministic/average_success	epoch	train/return/avg	train/return/std	train/return/max	train/return/min	train/ep_length	total_env_steps	current_task_steps	train/q1_vals/avg	train/q1_vals/std	train/q1_vals/max	train/q1_vals/min	train/q2_vals/avg	train/q2_vals/std	train/q2_vals/max	train/q2_vals/min	train/log_pi/avg	train/log_pi/std	train/log_pi/max	train/log_pi/min	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/loss_reg	train/agem_violation	train/success	walltime
-41.450002348126866	8.873813354797432	-29.351891039323846	-56.40973496406926	200.0	0.0	0.0	-32.0784492311497	0.0	-32.0784492311497	-32.0784492311497	200.0	0.0	0.0	1	-28.061781809464303	0.0	-28.061781809464303	-28.061781809464303	200.0	250	250	9.339244	1.7014854	11.716733	-0.55007064	9.346824	1.6721277	11.664371	-0.36170614	-2.7042563	0.32899773	0.7665882	-6.3843985	-15.585147	0.698986	0.6731467	2.33438786149025	0.0	0.0	0.0	10.23058295249939
-37.66193863360482	9.43697587308638	-23.715825329643515	-53.05749778214923	200.0	0.0	0.0	-32.780303884337414	0.0	-32.780303884337414	-32.780303884337414	200.0	0.0	0.0	2	-36.192355929235546	0.0	-36.192355929235546	-36.192355929235546	200.0	500	500	12.724323	0.8717604	14.527812	10.629321	12.724255	0.8717303	14.561689	10.703642	-2.7323782	0.24275637	-1.9344153	-5.663585	-17.180996	0.11630131	0.11646288	1.641338897228241	0.0	0.0	0.0	17.973806858062744
-36.59403086432847	14.722741630161577	0.42865673111755637	-56.02569006757844	200.0	0.0	0.0	-33.44917707047466	0.0	-33.44917707047466	-33.44917707047466	200.0	0.0	0.0	3	-32.481033553083016	0.0	-32.481033553083016	-32.481033553083016	200.0	750	750	15.277019	0.66329277	16.711227	13.5729	15.276543	0.6690369	16.756485	13.484458	-2.7318144	0.23514518	-2.0821319	-5.944601	-18.375254	0.06373673	0.06783386	1.1454909234046935	0.0	0.0	0.0	25.602247953414917
-37.785589650945056	5.856950799852633	-28.545790935787842	-51.742672060716735	200.0	0.0	0.0	-32.83710028815338	0.0	-32.83710028815338	-32.83710028815338	200.0	0.0	0.0	4	-38.183982496160056	5.7899169825182675	-32.394065513641785	-43.97389947867832	200.0	1000	1000	17.123878	0.4663029	18.28709	15.9999485	17.123848	0.46765846	18.228674	16.026531	-2.733851	0.23353934	-2.0517664	-6.883788	-19.347548	0.027673705	0.028417086	0.822300695180893	0.0	0.0	0.0	33.46653389930725
