test/stochastic/0/reach-v1/return/avg	test/stochastic/0/reach-v1/return/std	test/stochastic/0/reach-v1/return/max	test/stochastic/0/reach-v1/return/min	test/stochastic/0/reach-v1/ep_length	test/stochastic/0/reach-v1/success	test/stochastic/average_success	test/deterministic/0/reach-v1/return/avg	test/deterministic/0/reach-v1/return/std	test/deterministic/0/reach-v1/return/max	test/deterministic/0/reach-v1/return/min	test/deterministic/0/reach-v1/ep_length	test/deterministic/0/reach-v1/success	test/deterministic/average_success	epoch	train/return/avg	train/return/std	train/return/max	train/return/min	train/ep_length	total_env_steps	current_task_steps	train/q1_vals/avg	train/q1_vals/std	train/q1_vals/max	train/q1_vals/min	train/q2_vals/avg	train/q2_vals/std	train/q2_vals/max	train/q2_vals/min	train/log_pi/avg	train/log_pi/std	train/log_pi/max	train/log_pi/min	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/loss_reg	train/agem_violation	train/success	walltime
1699.8076057487874	477.6436468930394	2335.0117858475987	939.6958781015956	200.0	0.0	0.0	1734.3054793751824	0.0	1734.3054793751824	1734.3054793751824	200.0	0.0	0.0	1	27249.298450866205	0.0	27249.298450866205	27249.298450866205	200.0	250	250	151.35016	42.913162	216.48868	-0.5522087	151.4931	42.673172	216.79228	-0.34031236	-0.9022189	1.241137	2.238502	-8.342323	-165.66711	614.51776	601.86053	2.3555116653442383	0.0	0.0	0.0	11.073111057281494
5015.087642593429	2977.422834079686	11108.692132723612	874.740440335893	200.0	0.0	0.0	3855.4345701066577	0.0	3855.4345701066577	3855.4345701066577	200.0	0.0	0.0	2	18482.70016869265	0.0	18482.70016869265	18482.70016869265	200.0	500	500	245.64217	42.45631	386.4005	136.75836	245.63802	42.634216	385.94507	136.13179	-1.4324713	1.356969	9.306894	-8.302878	-252.00159	149.37163	141.65378	1.6448941712379455	0.0	0.0	0.0	18.906723022460938
1034.5138286116724	592.3941647979931	2335.1067963254186	511.3099898370081	200.0	0.0	0.0	479.02823155185234	0.0	479.02823155185234	479.02823155185234	200.0	0.0	0.0	3	67904.11625741466	0.0	67904.11625741466	67904.11625741466	200.0	750	750	451.14084	197.87924	1580.7014	112.544395	451.0654	198.03108	1591.6377	82.594124	2.798327	3.7727256	21.186886	-10.741779	-456.2383	852.3761	877.36127	1.2733579664230346	0.0	0.0	0.0	26.740025997161865
6377.6700776425205	9376.808388312193	32322.517934600866	1105.7499421540758	200.0	0.0	0.0	5270.445237328924	0.0	5270.445237328924	5270.445237328924	200.0	0.0	0.0	4	13364.13180583916	4229.982186648054	17594.113992487215	9134.149619191106	200.0	1000	1000	654.1441	326.79883	2330.0168	240.47585	654.1661	326.89908	2325.553	233.27602	1.4169103	3.4000413	46.37148	-9.163811	-656.6436	714.75635	642.68726	1.120314393043518	0.0	0.0	0.0	34.853312969207764
