test/stochastic/0/reach-v1/return/avg	test/stochastic/0/reach-v1/return/std	test/stochastic/0/reach-v1/return/max	test/stochastic/0/reach-v1/return/min	test/stochastic/0/reach-v1/ep_length	test/stochastic/0/reach-v1/success	test/stochastic/average_success	test/deterministic/0/reach-v1/return/avg	test/deterministic/0/reach-v1/return/std	test/deterministic/0/reach-v1/return/max	test/deterministic/0/reach-v1/return/min	test/deterministic/0/reach-v1/ep_length	test/deterministic/0/reach-v1/success	test/deterministic/average_success	epoch	train/return/avg	train/return/std	train/return/max	train/return/min	train/ep_length	total_env_steps	current_task_steps	train/q1_vals/avg	train/q1_vals/std	train/q1_vals/max	train/q1_vals/min	train/q2_vals/avg	train/q2_vals/std	train/q2_vals/max	train/q2_vals/min	train/log_pi/avg	train/log_pi/std	train/log_pi/max	train/log_pi/min	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/popart_mean/0	train/popart_std/0	train/loss_reg	train/agem_violation	train/success	walltime
2999.8903557112926	1071.9898619278104	4666.811984697628	1108.065900853872	200.0	0.0	0.0	2581.725908164886	0.0	2581.725908164886	2581.725908164886	200.0	0.0	0.0	1	27249.298450866205	0.0	27249.298450866205	27249.298450866205	200.0	250	250	30.607943	7.799201	59.233395	-0.5522087	31.495754	6.8719783	66.563225	-0.34031236	-2.4973705	0.5833067	1.2167339	-7.1618357	-36.495216	94.69877	79.5764	2.336003221869469	1.0130818	5.9801803	0.0	0.0	0.0	12.837440013885498
6988.736467611244	4264.107439512692	16331.60546661445	1588.379081874902	200.0	0.0	0.0	4279.912320627901	0.0	4279.912320627901	4279.912320627901	200.0	0.0	0.0	2	18482.70016869265	0.0	18482.70016869265	18482.70016869265	200.0	500	500	36.458775	3.062823	44.94265	29.045527	36.477978	3.3281326	47.541157	27.819899	-2.6656852	0.36837173	-1.3514595	-6.652217	-40.63778	2.8698404	1.7633922	1.6376704225540162	3.1773067	10.102182	0.0	0.0	0.0	23.47935175895691
27134.16841013483	17502.84508040298	69596.45340262835	2379.3546526942046	200.0	0.0	0.0	25039.604543046757	0.0	25039.604543046757	25039.604543046757	200.0	0.0	0.0	3	67904.11625741466	0.0	67904.11625741466	67904.11625741466	200.0	750	750	50.1641	13.396823	121.31979	21.19803	50.166138	13.719517	121.53389	23.803967	-2.5439742	0.60705096	3.6035986	-11.485292	-52.079018	10.36058	6.846516	1.1412538180351257	6.024423	14.306726	0.0	0.0	0.0	32.850759983062744
23221.19619150222	11728.817624378173	40031.083056390125	1775.1275567727441	200.0	0.0	0.0	34432.928414788286	0.0	34432.928414788286	34432.928414788286	200.0	0.0	0.0	4	13364.13180583916	4229.982186648054	17594.113992487215	9134.149619191106	200.0	1000	1000	58.866592	19.980217	158.19125	29.830128	58.865353	19.980148	155.40997	29.459476	-2.6124003	0.5337363	2.6768346	-7.509389	-60.59023	2.7791321	2.9119594	0.8202525551319122	9.614165	19.441048	0.0	0.0	0.0	42.02709984779358
