test/stochastic/0/reach-v1/return/avg	test/stochastic/0/reach-v1/return/std	test/stochastic/0/reach-v1/return/max	test/stochastic/0/reach-v1/return/min	test/stochastic/0/reach-v1/ep_length	test/stochastic/0/reach-v1/success	test/stochastic/average_success	test/deterministic/0/reach-v1/return/avg	test/deterministic/0/reach-v1/return/std	test/deterministic/0/reach-v1/return/max	test/deterministic/0/reach-v1/return/min	test/deterministic/0/reach-v1/ep_length	test/deterministic/0/reach-v1/success	test/deterministic/average_success	epoch	train/return/avg	train/return/std	train/return/max	train/return/min	train/ep_length	total_env_steps	current_task_steps	train/q1_vals/avg	train/q1_vals/std	train/q1_vals/max	train/q1_vals/min	train/q2_vals/avg	train/q2_vals/std	train/q2_vals/max	train/q2_vals/min	train/log_pi/avg	train/log_pi/std	train/log_pi/max	train/log_pi/min	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/popart_mean/0	train/popart_std/0	train/loss_reg	train/agem_violation	train/success	walltime
3362.8795459648945	1857.5452015600667	7958.565565404366	1096.717283107245	200.0	0.0	0.0	1904.310530669926	0.0	1904.310530669926	1904.310530669926	200.0	0.0	0.0	1	3496.6403646903204	0.0	3496.6403646903204	3496.6403646903204	200.0	250	250	15.453413	4.627971	41.554123	-0.58659196	15.816146	4.8105927	44.19203	-0.22634926	-2.573867	0.5612875	5.113097	-7.6998463	-21.196705	37.377785	33.208447	2.333866475224495	0.5521922	3.5197802	0.0	0.0	0.0	15.344807147979736
18297.028358148305	8716.750917308804	31182.934362275504	4745.845565806487	200.0	0.0	0.0	12632.945633433426	0.0	12632.945633433426	12632.945633433426	200.0	0.0	0.0	2	7201.661527115662	0.0	7201.661527115662	7201.661527115662	200.0	500	500	18.592129	4.4881954	41.915977	6.6047807	18.59323	4.844814	41.789703	5.2559505	-2.660988	0.44272897	-0.65392494	-8.084251	-22.567196	5.430034	4.130663	1.6379953560829164	1.5847908	5.37476	0.0	0.0	0.0	25.122655153274536
30784.160000637676	18147.171194339393	69405.90926290258	10702.061657432125	200.0	0.0	0.0	28528.27649679915	0.0	28528.27649679915	28528.27649679915	200.0	0.0	0.0	3	20371.814004003645	0.0	20371.814004003645	20371.814004003645	200.0	750	750	28.107117	10.5032	56.221146	8.449983	28.112455	10.514795	57.743225	9.343333	-2.6536918	0.43225774	0.055793285	-7.2470455	-30.90823	2.191684	2.217499	1.1411006762981415	3.1451344	7.9411497	0.0	0.0	0.0	33.02216029167175
26883.490386483405	13475.478467138502	53362.09737413357	1667.5512585994231	200.0	0.0	0.0	60834.00505955294	0.0	60834.00505955294	60834.00505955294	200.0	0.0	0.0	4	56304.39086800615	37749.38965102561	94053.78051903176	18555.00121698054	200.0	1000	1000	38.230244	18.643099	151.65309	5.95723	38.21967	18.586462	163.17413	5.589955	-2.6019826	0.5270429	3.9235163	-7.8773613	-39.38639	5.249401	6.402254	0.8191432967185974	5.2843885	11.394636	0.0	0.0	0.0	40.952821016311646
